sim seed ne n mur mud1 mufv1 mud2 mufv2 ts1 int12 genomesize rrate GSS.He GSS.Dj GSS.WCst GSS.S GSS.thetaW GSS.D GSS.Da GSS.ZZ
59 353258780 9052 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.105389621259 0.0200293113397 0.13318209726 2201 335.138722986 -0.950469265245 0.015034676449 NA
60 395493776 2613 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.160813152756 0.051013036265 0.215432140612 634 96.5370060759 0.172281771349 0.038814823328 NA
61 573472269 4777 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.154424639712 -0.000690472927696 -0.00253639760427 1229 187.135615879 0.0436747674491 -0.000391187426146 NA
62 257619077 3460 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.181132555901 0.0530801356716 0.202101786713 971 147.850840536 0.583530839891 0.0407107615834 NA
63 341389750 7863 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.146067162094 -5.31429303686e-05 -0.000165980649816 1893 288.240619088 -0.125649695639 -2.4242315646e-05 NA
64 683393744 3525 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.183527806708 0.00998500315142 0.0309924185056 1054 160.488965937 0.632217442546 0.00577727203379 NA
65 351562821 3157 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.173076499178 0.00226020568116 0.0101587099874 971 147.850840536 0.420676269792 0.00176718763747 NA
66 143550875 7242 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.132816668537 -0.000252956884947 -0.00111115216135 1675 255.046506588 -0.394069512544 -0.000147497787445 NA
67 504302212 4044 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.151891983985 0.00148058813561 0.00621144360915 1118 170.234026487 -0.00757767088527 0.000946400382951 NA
68 866868985 6000 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.120839873607 0.000528966731146 0.00274825390817 1369 208.452935833 -0.636285724247 0.000332554481685 NA
69 748721364 9519 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.155543513337 0.000228946428006 0.000870601673886 2229 339.402186977 0.0664447179685 0.000135475267769 NA
70 273863264 7124 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.145631408357 -0.000141712702624 -0.000607700451858 1954 297.528879925 -0.134493131135 -8.84734573578e-05 NA
71 796124297 8897 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.149791814215 6.12816002598e-05 0.00041748658453 2601 396.045351425 -0.0501960783345 6.25490968872e-05 NA
72 593883584 9678 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.194179630745 0.000179165405826 0.000706441891995 2722 414.469606528 0.850208423513 0.000137224974986 NA
73 732088628 3086 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.158194860231 -0.000352701873366 -0.00123094334535 977 148.764439962 0.119845317411 -0.000194609434069 NA
74 285647199 6026 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.163118973219 0.000375940132489 0.00141423257786 1718 261.593969146 0.219894883484 0.00023085099537 NA
75 881469598 6568 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.175377402701 6.75203137833e-05 0.000898961988824 1936 294.788081645 0.468439290204 0.000157728336932 NA
76 767738759 5056 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.152548739965 0.00168495678186 0.00678197515822 1289 196.271610145 0.00571162960708 0.00103809310322 NA
77 226183688 3268 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.157047376016 0.00226230844233 0.0149422737207 825 125.619921156 0.0965534929742 0.00236426435206 NA
78 712004147 888 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.166451916829 0.00501467920018 0.0184890054557 270 41.1119741964 0.282860231159 0.00310617345989 NA
79 352825110 6284 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.130500258702 -0.000107062740551 -0.000515634383738 1676 255.19877316 -0.441002520211 -6.72731197761e-05 NA
80 140672594 4449 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.181380234766 -0.000304684691817 -0.000825493845907 1163 177.086022187 0.58905779974 -0.000149666647944 NA
81 642062667 2991 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.177559827771 0.00143557181181 0.0048367989002 773 117.702059458 0.510608838841 0.000860897956794 NA
82 468826952 2741 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.166615987018 0.110839661903 0.425720240602 746 113.590862039 0.289609341031 0.0900523000391 NA
83 487522124 3342 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.165364467134 -0.000226985318167 -0.00104082666838 947 144.196442829 0.26474035367 -0.000172026446912 NA
84 821329272 8719 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.162387819527 0.000118730468828 0.000600409051514 2323 353.71524466 0.205242330441 9.75283217647e-05 NA
85 388590839 6484 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.175665576921 0.000375728733686 0.00106747109999 1672 254.589706875 0.474078638117 0.000187617813951 NA
86 877569973 6099 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.146617723105 0.0177044899544 0.0820343898791 1580 240.581182334 -0.114428452268 0.0125407944787 NA
87 830956438 9485 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.160327785911 0.000341049774114 0.00108227731411 2727 415.230939383 0.163522704513 0.000173612838671 NA
88 566416079 4030 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.13491860708 0.000237122779531 0.00127141411192 1032 157.139101373 -0.350802935234 0.000171646264266 NA
89 314777650 6416 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.126063976509 -0.00025362475311 -0.00114942664219 1521 231.597454639 -0.530716837681 -0.000144818272824 NA
90 869974260 3789 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.118386058386 0.00072935017854 0.00436592556789 858 130.644718002 -0.684418693681 0.000517992643872 NA
91 403329366 104 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.0826731301939 0.0063815199622 0.0468242602636 19 2.89306485085 -1.13525353483 0.00396367363131 NA
92 596202898 8103 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.127716832743 0.0487131896815 0.252165480971 1906 290.220084512 -0.497583744633 0.0368388828982 NA
93 339688151 9568 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.11319327088 0.00714210149286 0.0415434790754 2407 366.505636632 -0.79240467175 0.0048019368759 NA
94 472573507 9255 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.198147098374 -1.11684113279e-05 -2.8052567046e-05 2723 414.621873099 0.930689350785 -5.55845699152e-06 NA
95 116535601 8713 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.135471776629 0.0393646475763 0.191845003567 2382 362.698972354 -0.340589875709 0.0287394325743 NA
96 640591474 8328 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.145145196941 0.00408573741765 0.0281097291993 1897 288.849685372 -0.14433693528 0.00413800552578 NA
97 240877474 1956 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.168965276747 0.0387566787103 0.15510518327 557 84.8124801014 0.336233886855 0.0284047296627 NA
98 234495636 4976 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.116429462136 0.016448123022 0.101008747513 1224 186.374283023 -0.725255131331 0.012384287245 NA
99 104060099 6150 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.134171672762 0.0324395522937 0.158867711632 1363 207.539336406 -0.366355158103 0.0231498171341 NA
100 498655791 8640 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.128738607097 0.033410693765 0.171782226588 2174 331.027525566 -0.477035042568 0.0241872693735 NA
101 858717818 8707 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.13946126967 -0.00034831377098 -0.00142788783025 2146 326.764061575 -0.259622383383 -0.000198993335737 NA
102 649020400 8503 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.137758553207 0.000137736322329 0.000503475088601 2286 348.081381529 -0.294188119557 6.93754204087e-05 NA
103 694223145 7519 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.132706385943 0.0180336943435 0.0990464745463 1842 280.475023962 -0.396415813831 0.0138271486368 NA
104 768519443 9864 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.140111438968 0.0418361427921 0.207241866522 2594 394.979485427 -0.246544079052 0.0323842300361 NA
105 593158659 5225 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.16328881995 0.0411442614083 0.156386696895 1476 224.74545894 0.223225304476 0.0276964495581 NA
106 679370674 8346 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.150043865762 0.000309278773637 0.00122587013143 2050 312.14647075 -0.0450593312921 0.000184046819464 NA
107 175494817 1162 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.146296755007 0.000120226240551 0.00116258993543 343 52.2274338865 -0.119516755689 0.000170181812855 NA
108 873545333 7174 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.178203436863 -0.000814626839634 -0.00266821471252 1903 289.763284799 0.525696319283 -0.000474853114761 NA
109 753454975 2202 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.132612166381 -0.000329037023153 -0.00143830435394 570 86.7919455256 -0.3958313272 -0.000190599929472 NA
110 239019531 8770 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.149274917889 -0.000321543186173 -0.00131626229985 2203 335.443256128 -0.0606583952462 -0.000196356042582 NA
111 749186000 366 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.082765721121 0.00155931354392 0.013661446795 88 13.3994582566 -1.33517756783 0.00113845648698 NA
112 695577169 6574 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.167271575022 0.000121783123116 0.000530127805522 1660 252.762508022 0.304004004401 8.86987649089e-05 NA
113 496006280 2513 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.145850444153 5.30451490555e-07 0.000404754960495 654 99.5823374978 -0.129368331905 5.90456103137e-05 NA
114 406839516 5625 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.144803037284 0.0295366895785 0.141407144984 1583 241.037982047 -0.151189404147 0.0220298709276 NA
115 616934368 6450 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.107517934362 0.000150683087257 0.000798489352096 1351 205.712137553 -0.905964617967 8.58861293879e-05 NA
116 700940496 5121 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.134192251063 3.86041092736e-05 -9.13951014872e-05 1309 199.316941567 -0.365880869505 -1.22639553765e-05 NA
117 139517582 8248 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.171902545193 0.0685923664125 0.249374351778 2086 317.62806731 0.398083692137 0.0489571105769 NA
118 778286621 1772 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.147148421596 -0.000706933667614 -0.00282323495777 554 84.3556803881 -0.103050451009 -0.000414850425412 NA
119 688894257 3104 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.171604883565 0.0353281297651 0.144580688931 789 120.138324596 0.390446141908 0.0267388698881 NA
120 459577635 3623 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.152202596572 0.000675818731684 0.00306179312314 988 150.439372244 -0.00129337498453 0.000466725581347 NA
121 307723064 422 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.117607085897 0.0709513419426 0.455766820244 154 23.449051949 -0.681584233008 0.069370077661 NA
122 565399948 8005 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.163902733441 -0.000634496037197 -0.0023890111814 2287 348.2336481 0.235953950716 -0.000391099463208 NA
123 189346263 5459 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.133982264496 0.0246015249654 0.1110361035 1347 205.103071268 -0.370173182717 0.0157490328405 NA
124 424659886 6639 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.132313622756 0.0176305635481 0.09128539487 1491 227.029457507 -0.404106384864 0.0126544363332 NA
125 141944868 8994 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.166431566337 0.00083586444885 0.00263510584628 2385 363.155772068 0.287259679507 0.000439141936097 NA
126 243190678 7983 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.111403168384 0.0296147631755 0.178869201051 1988 302.705943342 -0.828329047925 0.0218783755296 NA
127 627687779 1190 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.148389800258 0.00119575885961 0.00531552562686 330 50.2479684622 -0.0775682841488 0.00079086645348 NA
128 409240636 887 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.164497162982 0.00187142597181 0.0066820995062 269 40.9597076253 0.243864870831 0.00110286189311 NA
129 775604006 8001 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.165970574719 -0.000338288408709 -0.00106472180507 2067 314.735002459 0.277817379415 -0.000176618700662 NA
130 267215385 2149 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.107034938745 0.0202432770625 0.153131670007 572 87.0964786678 -0.910974571671 0.017745751924 NA
131 458224483 8167 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.147871516348 -0.000372781910798 -0.00172225463208 2170 330.418459282 -0.0891103814602 -0.000254453836 NA
132 453212593 4500 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.126019570707 0.000273040048006 0.00170836157684 1056 160.793499079 -0.530816074397 0.000215470582076 NA
133 259506546 1616 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.156327137586 0.000402269675107 0.0021130385456 466 70.9562221315 0.0816136136201 0.000330673755042 NA
134 867974303 2630 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.156491053804 -0.000425190715445 -0.00129947030923 791 120.442857738 0.0852949473858 -0.000203223767384 NA
